respondent_id,human_id,TimePT,WaitingTimePT,MarginalCostPT,TimeCar,CostCarCHF,distance_km,TimePT_scaled,WaitingTimePT_scaled,MarginalCostPT_scaled,TimeCar_scaled,CostCarCHF_scaled,distance_km_scaled,CAR_AVAILABLE,pt_proxy,car_proxy,slow_proxy,complexity_score,complexity_rank,scenario_id
H0146,28240179,168,11,18.5,114,13.54,101.0,0.84,0.1833333333333333,1.85,0.57,1.354,20.2,1,2.873333333333333,1.924,20.2,0.5129958960328318,0.5112994350282486,S0146
H0147,28240202,215,21,0.0,163,20.71,150.0,1.075,0.35,0.0,0.815,2.071,30.0,1,1.4249999999999998,2.886,30.0,0.40633888663145057,0.3474576271186441,S0147
H0148,28240264,140,10,0.0,56,10.02,69.0,0.7,0.1666666666666666,0.0,0.28,1.002,13.8,0,0.8666666666666666,1000000.0,13.8,0.07177033492822966,0.009887005649717515,S0148
H0149,28240270,280,19,0.0,199,33.47,235.0,1.4,0.3166666666666666,0.0,0.995,3.347,47.0,1,1.7166666666666666,4.342,47.0,0.2758367046708349,0.1652542372881356,S0149
H0150,28240523,46,0,3.1,16,1.48,9.1,0.23,0.0,0.31,0.08,0.148,1.82,1,0.54,0.22799999999999998,1.82,0.7621951219512195,0.8241525423728814,S0150
H0151,28240523,46,0,3.1,16,1.48,9.1,0.23,0.0,0.31,0.08,0.148,1.82,1,0.54,0.22799999999999998,1.82,0.7621951219512195,0.8241525423728814,S0151
H0152,28240755,160,7,21.8,40,4.86,32.8,0.8,0.1166666666666666,2.18,0.2,0.486,6.56,1,3.0966666666666667,0.6859999999999999,6.56,0.29319781078967944,0.18785310734463276,S0152
H0153,28240755,168,5,38.8,72,11.16,85.0,0.84,0.0833333333333333,3.88,0.36,1.116,17.0,1,4.803333333333333,1.476,17.0,0.23108920043136655,0.1115819209039548,S0153
H0154,28240756,237,33,81.4,13,1.35,8.5,1.185,0.55,8.14,0.065,0.135,1.7,1,9.875,0.2,1.7,0.4,0.3382768361581921,S0154
H0155,28240756,237,33,81.4,13,1.35,8.5,1.185,0.55,8.14,0.065,0.135,1.7,1,9.875,0.2,1.7,0.4,0.3382768361581921,S0155
H0156,28240762,106,15,10.8,25,2.85,19.2,0.53,0.25,1.08,0.125,0.285,3.84,1,1.86,0.41,3.84,0.4081632653061224,0.3524011299435028,S0156
H0157,28240762,76,8,6.2,23,2.31,15.3,0.38,0.1333333333333333,0.62,0.115,0.231,3.06,1,1.1333333333333333,0.34600000000000003,3.06,0.5594927265945543,0.577683615819209,S0157
H0158,28240797,281,51,0.0,194,25.67,189.2,1.405,0.85,0.0,0.97,2.567,37.84,1,2.255,3.537,37.84,0.43821209465381245,0.393361581920904,S0158
H0159,28240798,281,51,0.0,194,25.67,189.2,1.405,0.85,0.0,0.97,2.567,37.84,1,2.255,3.537,37.84,0.43821209465381245,0.393361581920904,S0159
H0160,28240945,90,16,4.3,11,1.16,7.5,0.45,0.2666666666666666,0.43,0.055,0.1159999999999999,1.5,1,1.1466666666666665,0.1709999999999999,1.5,0.7389162561576353,0.807909604519774,S0160
H0161,28240965,57,8,0.0,23,2.51,16.1,0.285,0.1333333333333333,0.0,0.115,0.251,3.22,1,0.4183333333333333,0.366,3.22,0.9502692429521697,0.9717514124293786,S0161
H0162,28240969,79,16,11.2,12,1.2,7.5,0.395,0.2666666666666666,1.12,0.06,0.12,1.5,1,1.7816666666666667,0.18,1.5,0.7802340702210663,0.846045197740113,S0162
H0163,28240969,81,16,11.2,8,0.82,4.6,0.405,0.2666666666666666,1.12,0.04,0.0819999999999999,0.92,1,1.7916666666666667,0.12199999999999991,0.92,0.5561735261401557,0.5727401129943502,S0163
H0164,28240969,99,36,11.2,10,1.1,7.0,0.495,0.6,1.12,0.05,0.11,1.4,1,2.215,0.16,1.4,0.5509641873278237,0.5663841807909604,S0164
H0165,28240993,82,16,11.0,14,1.39,10.0,0.41,0.2666666666666666,1.1,0.07,0.1389999999999999,2.0,1,1.7766666666666666,0.2089999999999999,2.0,0.8174386920980926,0.8693502824858758,S0165
H0166,28240993,82,16,11.0,14,1.39,10.0,0.41,0.2666666666666666,1.1,0.07,0.1389999999999999,2.0,1,1.7766666666666666,0.2089999999999999,2.0,0.8174386920980926,0.8693502824858758,S0166
H0167,28241260,144,8,14.2,57,10.09,69.0,0.72,0.1333333333333333,1.42,0.285,1.009,13.8,0,2.2733333333333334,1000000.0,13.8,0.07982969664715274,0.011299435028248588,S0167
H0168,28241263,144,8,0.0,57,10.09,69.0,0.72,0.1333333333333333,0.0,0.285,1.009,13.8,0,0.8533333333333333,1000000.0,13.8,0.07170172084130019,0.00847457627118644,S0168
H0169,28420050,193,0,12.1,92,9.62,73.74,0.965,0.0,1.21,0.46,0.962,14.748,1,2.175,1.422,14.748,0.5704506560182545,0.5932203389830508,S0169
H0170,28420051,61,0,3.2,8,0.87,5.0,0.305,0.0,0.32,0.04,0.087,1.0,1,0.625,0.127,1.0,0.7272727272727273,0.7923728813559322,S0170
H0171,28420052,39,0,3.0,6,0.72,3.4,0.195,0.0,0.3,0.03,0.072,0.6799999999999999,1,0.495,0.102,0.6799999999999999,0.8438818565400843,0.8912429378531074,S0171
H0172,28420168,189,10,32.0,178,24.26,180.0,0.945,0.1666666666666666,3.2,0.89,2.426,36.0,1,4.3116666666666665,3.3160000000000003,36.0,0.5010856856522466,0.4929378531073446,S0172
H0173,28420388,109,4,0.0,129,15.76,116.0,0.545,0.0666666666666666,0.0,0.645,1.576,23.2,1,0.6116666666666666,2.221,23.2,0.38323965252938164,0.3163841807909605,S0173
H0174,28640122,82,5,18.4,38,4.1,26.0,0.41,0.0833333333333333,1.84,0.19,0.41,5.2,1,2.3333333333333335,0.6,5.2,0.36585365853658536,0.2923728813559322,S0174
H0175,30330009,132,2,0.0,53,7.32,52.0,0.66,0.0333333333333333,0.0,0.265,0.732,10.4,1,0.6933333333333334,0.997,10.4,0.7670672462285861,0.8319209039548022,S0175
H0176,30330035,93,9,0.0,32,4.14,26.0,0.465,0.15,0.0,0.16,0.414,5.2,1,0.615,0.574,5.2,0.9606147934678195,0.9752824858757062,S0176
H0177,30330106,86,0,3.8,28,3.38,22.0,0.43,0.0,0.38,0.14,0.3379999999999999,4.4,1,0.81,0.4779999999999999,4.4,0.7507507507507507,0.8135593220338984,S0177
H0178,30330170,225,20,23.1,60,9.33,69.0,1.125,0.3333333333333333,2.31,0.3,0.933,13.8,1,3.7683333333333335,1.233,13.8,0.28285875919290965,0.1709039548022599,S0178
H0179,30330353,112,10,4.8,29,4.18,26.5,0.56,0.1666666666666666,0.48,0.145,0.418,5.3,1,1.2066666666666666,0.563,5.3,0.6083958629081323,0.6440677966101694,S0179
H0180,30330355,113,1,3.8,27,2.94,18.5,0.565,0.0166666666666666,0.38,0.135,0.294,3.7,1,0.9616666666666666,0.429,3.7,0.6524575902566333,0.6977401129943502,S0180
H0181,30330364,142,3,3.8,38,3.98,25.0,0.71,0.05,0.38,0.19,0.398,5.0,1,1.1400000000000001,0.5880000000000001,5.0,0.6443298969072164,0.690677966101695,S0181
H0182,30330409,87,1,3.8,26,2.72,16.5,0.435,0.0166666666666666,0.38,0.13,0.272,3.3,1,0.8316666666666666,0.402,3.3,0.6994637444625789,0.7570621468926554,S0182
H0183,30330485,73,5,5.7,12,1.62,11.0,0.365,0.0833333333333333,0.5700000000000001,0.06,0.162,2.2,1,1.0183333333333333,0.222,2.2,0.5566895527927259,0.5748587570621468,S0183
H0184,30330486,200,49,8.6,66,7.44,46.5,1.0,0.8166666666666667,0.86,0.33,0.744,9.3,1,2.6766666666666667,1.074,9.3,0.3842213114754098,0.3192090395480226,S0184
H0185,30330486,118,19,3.8,38,4.66,29.0,0.59,0.3166666666666666,0.38,0.19,0.466,5.8,1,1.2866666666666666,0.656,5.8,0.6132461161079313,0.652542372881356,S0185
H0186,30330513,277,23,29.3,88,12.91,100.5,1.385,0.3833333333333333,2.93,0.44,1.291,20.1,1,4.698333333333333,1.7309999999999999,20.1,0.2520584775667955,0.13135593220338984,S0186
H0187,30330558,96,5,3.8,31,3.28,18.5,0.48,0.0833333333333333,0.38,0.155,0.3279999999999999,3.7,1,0.9433333333333332,0.4829999999999999,3.7,0.6847751654873316,0.7401129943502824,S0187
H0188,30330565,86,0,3.8,34,3.42,19.5,0.43,0.0,0.38,0.17,0.3419999999999999,3.9,1,0.81,0.5119999999999999,3.9,0.7704160246533127,0.8361581920903954,S0188
H0189,30330629,123,5,5.7,23,2.51,13.0,0.615,0.0833333333333333,0.5700000000000001,0.115,0.251,2.6,1,1.2683333333333333,0.366,2.6,0.5256702295426668,0.5296610169491526,S0189
H0190,30330669,74,0,3.8,29,3.04,18.0,0.37,0.0,0.38,0.145,0.304,3.6,1,0.75,0.44899999999999995,3.6,0.7686395080707148,0.8347457627118644,S0190
H0191,30330674,86,3,3.8,37,4.5,28.0,0.43,0.05,0.38,0.185,0.45,5.6,1,0.86,0.635,5.6,0.8163265306122448,0.865819209039548,S0191
H0192,30330674,189,25,5.7,40,4.99,31.5,0.945,0.4166666666666667,0.5700000000000001,0.2,0.499,6.3,1,1.9316666666666666,0.6990000000000001,6.3,0.4478948939982084,0.4110169491525424,S0192
H0193,30330675,301,92,10.8,50,8.77,66.0,1.505,1.5333333333333334,1.08,0.25,0.877,13.2,0,4.118333333333333,1000000.0,13.2,0.09918994875185981,0.018361581920903956,S0193
H0194,30330693,118,3,3.8,42,5.27,34.0,0.59,0.05,0.38,0.21,0.5269999999999999,6.8,1,1.02,0.7369999999999999,6.8,0.7794232268121589,0.8418079096045198,S0194
H0195,30330717,152,4,15.2,54,5.66,33.5,0.76,0.0666666666666666,1.52,0.27,0.5660000000000001,6.7,1,2.3466666666666667,0.8360000000000001,6.7,0.3983005841741902,0.3347457627118644,S0195
H0196,30330725,226,13,16.2,72,10.46,80.0,1.13,0.2166666666666666,1.62,0.36,1.046,16.0,1,2.966666666666667,1.4060000000000001,16.0,0.3905233012236397,0.3248587570621469,S0196
H0197,30330751,182,40,15.0,69,12.55,93.0,0.91,0.6666666666666666,1.5,0.345,1.255,18.6,1,3.0766666666666667,1.5999999999999999,18.6,0.4037685060565276,0.3403954802259887,S0197
H0198,30330770,141,16,4.9,33,3.64,21.1,0.705,0.2666666666666666,0.49,0.165,0.364,4.220000000000001,1,1.4616666666666664,0.529,4.220000000000001,0.5174197999310107,0.519774011299435,S0198
H0199,30330795,280,22,11.4,106,11.52,68.0,1.4,0.3666666666666666,1.14,0.53,1.152,13.6,1,2.9066666666666663,1.682,13.6,0.44950554390170816,0.4152542372881356,S0199
H0200,30330821,55,0,0.0,24,2.69,17.5,0.275,0.0,0.0,0.12,0.269,3.5,1,0.275,0.389,3.5,0.8976660682226213,0.9364406779661016,S0200
H0201,30330833,83,0,3.8,31,3.58,22.0,0.415,0.0,0.38,0.155,0.358,4.4,1,0.7949999999999999,0.513,4.4,0.7800312012480499,0.844632768361582,S0201
H0202,30330851,93,0,3.8,25,2.97,17.5,0.465,0.0,0.38,0.125,0.297,3.5,1,0.845,0.422,3.5,0.7027406886858749,0.7641242937853108,S0202
H0203,30331017,58,0,0.0,30,3.07,18.0,0.29,0.0,0.0,0.15,0.307,3.6,1,0.29,0.45699999999999996,3.6,0.856898029134533,0.9067796610169492,S0203
H0204,30331035,160,24,11.4,67,10.19,74.0,0.8,0.4,1.14,0.335,1.019,14.8,1,2.34,1.3539999999999999,14.8,0.5035246727089627,0.4971751412429379,S0204
H0205,30332010,210,21,24.6,74,12.22,86.0,1.05,0.35,2.46,0.37,1.222,17.2,1,3.86,1.592,17.2,0.30599755201958384,0.20480225988700565,S0205
H0206,30860015,122,7,0.0,44,4.99,29.0,0.61,0.1166666666666666,0.0,0.22,0.499,5.8,0,0.7266666666666666,1000000.0,5.8,0.16465422612513722,0.05508474576271186,S0206
H0207,30860018,152,0,3.8,42,4.16,25.0,0.76,0.0,0.38,0.21,0.416,5.0,0,1.1400000000000001,1000000.0,5.0,0.20576131687242802,0.09180790960451977,S0207
H0208,30860031,248,51,11.4,71,7.18,56.5,1.24,0.85,1.14,0.355,0.718,11.3,1,3.2299999999999995,1.073,11.3,0.31675641431739,0.22175141242937854,S0208
H0209,30860032,232,51,9.5,57,5.86,38.5,1.16,0.85,0.95,0.285,0.5860000000000001,7.7,1,2.96,0.871,7.7,0.32372936225315635,0.2330508474576271,S0209
H0210,30860095,99,0,3.8,3,0.37,2.3,0.495,0.0,0.38,0.015,0.037,0.4599999999999999,1,0.875,0.052,0.4599999999999999,0.7102272727272728,0.7754237288135594,S0210
H0211,30860141,93,12,7.6,26,2.72,17.0,0.465,0.2,0.76,0.13,0.272,3.4,1,1.425,0.402,3.4,0.49431537320810676,0.4788135593220339,S0211
H0212,30860157,119,0,19.0,57,5.63,28.6,0.595,0.0,1.9,0.285,0.563,5.720000000000001,1,2.495,0.8479999999999999,5.720000000000001,0.3777861730260672,0.3064971751412429,S0212
H0213,30860176,46,0,11.4,34,3.48,19.5,0.23,0.0,1.14,0.17,0.348,3.9,1,1.3699999999999999,0.518,3.9,0.5399568034557236,0.5522598870056498,S0213
H0214,30860197,73,5,15.2,35,3.38,18.0,0.365,0.0833333333333333,1.52,0.175,0.3379999999999999,3.6,1,1.9683333333333333,0.5129999999999999,3.6,0.40727667662231876,0.3488700564971751,S0214
H0215,30860240,129,7,7.6,43,4.27,23.5,0.645,0.1166666666666666,0.76,0.215,0.4269999999999999,4.7,1,1.5216666666666665,0.6419999999999999,4.7,0.5320092214931725,0.536723163841808,S0215
H0216,30860245,181,24,7.1,42,4.8,27.4,0.905,0.4,0.71,0.21,0.48,5.48,1,2.015,0.69,5.48,0.4301075268817204,0.3813559322033898,S0216
H0217,30860246,149,16,3.8,37,4.69,30.0,0.745,0.2666666666666666,0.38,0.185,0.469,6.0,1,1.3916666666666666,0.6539999999999999,6.0,0.5754843660080567,0.6016949152542372,S0217
H0218,30860250,213,21,11.5,90,8.61,49.0,1.065,0.35,1.15,0.45,0.861,9.8,1,2.565,1.311,9.8,0.44365572315882873,0.4025423728813559,S0218
H0219,30860253,163,23,17.1,88,10.99,76.0,0.815,0.3833333333333333,1.7100000000000002,0.44,1.099,15.2,1,2.908333333333333,1.539,15.2,0.42205965109735505,0.3700564971751412,S0219
H0220,30860274,122,5,7.6,65,6.86,43.0,0.61,0.0833333333333333,0.76,0.325,0.686,8.6,1,1.4533333333333331,1.0110000000000001,8.6,0.6933210076265313,0.751412429378531,S0220
H0221,30860310,143,15,6.7,42,4.11,21.0,0.715,0.25,0.67,0.21,0.411,4.2,1,1.635,0.621,4.2,0.4965243296921549,0.4844632768361582,S0221
H0222,30860391,85,13,3.8,30,3.11,19.0,0.425,0.2166666666666666,0.38,0.15,0.311,3.8,1,1.0216666666666665,0.46099999999999997,3.8,0.6407518154634771,0.6864406779661016,S0222
H0223,30860430,263,45,11.4,77,7.77,47.0,1.315,0.75,1.14,0.385,0.7769999999999999,9.4,1,3.205,1.162,9.4,0.3286230693394676,0.24152542372881355,S0223
H0224,30860444,138,7,5.8,56,6.61,39.0,0.69,0.1166666666666666,0.58,0.28,0.661,7.8,1,1.3866666666666665,0.9410000000000001,7.8,0.6917223887479826,0.7457627118644068,S0224
H0225,30860491,193,36,0.0,85,12.71,87.0,0.965,0.6,0.0,0.425,1.271,17.4,1,1.565,1.696,17.4,0.8841732979664014,0.9251412429378532,S0225
H0226,30860540,224,23,11.5,89,12.75,86.0,1.12,0.3833333333333333,1.15,0.445,1.275,17.2,1,2.6533333333333333,1.72,17.2,0.5172413793103449,0.518361581920904,S0226
H0227,30860545,122,9,3.8,60,6.66,42.0,0.61,0.15,0.38,0.3,0.666,8.4,1,1.1400000000000001,0.966,8.4,0.8517887563884156,0.9011299435028248,S0227
H0228,30860546,112,12,5.7,33,3.37,18.3,0.56,0.2,0.5700000000000001,0.165,0.337,3.66,1,1.33,0.502,3.66,0.5470459518599562,0.559322033898305,S0228
H0229,30860711,169,10,7.6,74,7.75,47.0,0.845,0.1666666666666666,0.76,0.37,0.775,9.4,1,1.7716666666666665,1.145,9.4,0.6147540983606558,0.653954802259887,S0229
H0230,30860712,250,32,11.6,76,7.48,42.0,1.25,0.5333333333333333,1.16,0.38,0.748,8.4,1,2.9433333333333334,1.1280000000000001,8.4,0.3551977267345489,0.2754237288135593,S0230
H0231,30860718,418,116,23.6,126,15.15,101.0,2.09,1.9333333333333331,2.3600000000000003,0.63,1.515,20.2,1,6.383333333333334,2.145,20.2,0.19090041361756285,0.08050847457627118,S0231
H0232,30860723,132,14,6.7,42,4.08,20.0,0.66,0.2333333333333333,0.67,0.21,0.408,4.0,1,1.5633333333333335,0.618,4.0,0.5140507196710075,0.5127118644067796,S0232
H0233,30860725,112,5,0.0,90,9.16,53.7,0.56,0.0833333333333333,0.0,0.45,0.916,10.74,1,0.6433333333333333,1.366,10.74,0.5804953560371516,0.6073446327683616,S0233
H0234,30860768,109,10,5.8,51,5.33,30.0,0.545,0.1666666666666666,0.58,0.255,0.533,6.0,1,1.2916666666666665,0.788,6.0,0.6650410108623366,0.711864406779661,S0234
H0235,30860803,187,12,11.8,48,4.86,26.0,0.935,0.2,1.1800000000000002,0.24,0.486,5.2,1,2.3150000000000004,0.726,5.2,0.38624951718810346,0.3206214689265537,S0235
H0236,30860804,10,0,0.0,2,0.29,0.2,0.05,0.0,0.0,0.01,0.0289999999999999,0.04,1,0.05,0.0389999999999999,0.04,0.9990009990009989,0.9978813559322034,S0236
H0237,30860804,10,0,0.0,2,0.29,0.2,0.05,0.0,0.0,0.01,0.0289999999999999,0.04,1,0.05,0.0389999999999999,0.04,0.9990009990009989,0.9978813559322034,S0237
H0238,31320656,95,22,0.0,70,7.97,54.0,0.475,0.3666666666666666,0.0,0.35,0.7969999999999999,10.8,1,0.8416666666666666,1.1469999999999998,10.8,0.7660878447395302,0.8305084745762712,S0238
H0239,31321173,136,20,7.6,80,9.03,60.0,0.68,0.3333333333333333,0.76,0.4,0.903,12.0,1,1.7733333333333334,1.303,12.0,0.6801178871004306,0.7358757062146892,S0239
H0240,31321487,116,0,0.0,75,6.71,40.0,0.58,0.0,0.0,0.375,0.671,8.0,0,0.58,1000000.0,8.0,0.11876484560570072,0.026836158192090395,S0240
H0241,31321592,319,53,0.0,256,42.86,321.0,1.595,0.8833333333333333,0.0,1.28,4.286,64.2,1,2.4783333333333335,5.566,64.2,0.2446383429829569,0.12429378531073447,S0241
H0242,32710161,71,0,4.0,12,1.05,6.0,0.355,0.0,0.4,0.06,0.105,1.2,1,0.755,0.16499999999999998,1.2,0.6920415224913495,0.7471751412429378,S0242
H0243,39010096,34,0,4.0,26,2.64,14.0,0.17,0.0,0.4,0.13,0.264,2.8,1,0.5700000000000001,0.394,2.8,0.8503401360544216,0.8968926553672316,S0243
H0244,39110243,138,20,0.0,75,10.25,79.0,0.69,0.3333333333333333,0.0,0.375,1.025,15.8,1,1.0233333333333332,1.4,15.8,0.7263922518159807,0.7909604519774012,S0244
H0245,39110258,42,0,6.8,15,1.75,12.5,0.21,0.0,0.6799999999999999,0.075,0.175,2.5,1,0.8899999999999999,0.25,2.5,0.6097560975609756,0.6454802259887006,S0245
H0246,39110438,141,9,0.0,85,10.07,82.0,0.705,0.15,0.0,0.425,1.007,16.4,1,0.855,1.432,16.4,0.6341154090044389,0.6730225988700564,S0246
H0247,39110815,101,11,7.2,28,3.45,24.0,0.505,0.1833333333333333,0.72,0.14,0.345,4.8,1,1.4083333333333332,0.485,4.8,0.5199306759098787,0.5268361581920904,S0247
H0248,39110816,228,24,0.0,299,54.84,428.5,1.14,0.4,0.0,1.495,5.484,85.7,1,1.54,6.979,85.7,0.15530361857431277,0.046610169491525424,S0248
H0249,39110987,84,11,3.5,14,1.71,11.0,0.42,0.1833333333333333,0.35,0.07,0.1709999999999999,2.2,1,0.9533333333333333,0.2409999999999999,2.2,0.5839984426708195,0.6129943502824858,S0249
H0250,39110987,80,8,3.2,14,1.71,11.0,0.4,0.1333333333333333,0.32,0.07,0.1709999999999999,2.2,1,0.8533333333333333,0.2409999999999999,2.2,0.6202191440975812,0.6581920903954802,S0250
H0251,39111287,176,1,10.0,51,6.92,39.5,0.88,0.0166666666666666,1.0,0.255,0.692,7.9,1,1.8966666666666665,0.947,7.9,0.5129081894340913,0.5098870056497176,S0251
H0252,39111325,42,0,3.4,19,2.11,14.5,0.21,0.0,0.3399999999999999,0.095,0.211,2.9,1,0.5499999999999999,0.306,2.9,0.8038585209003215,0.8559322033898306,S0252
H0253,39111325,46,0,3.4,19,2.11,14.5,0.23,0.0,0.3399999999999999,0.095,0.211,2.9,1,0.57,0.306,2.9,0.7911392405063291,0.8516949152542372,S0253
H0254,39111355,107,0,7.2,28,3.51,24.0,0.535,0.0,0.72,0.14,0.351,4.8,1,1.255,0.491,4.8,0.5668934240362813,0.5918079096045198,S0254
H0255,39111360,36,0,4.0,18,1.95,8.0,0.18,0.0,0.4,0.09,0.195,1.6,0,0.5800000000000001,1000000.0,1.6,0.49504950495049505,0.481638418079096,S0255
H0256,39111360,56,0,2.2,18,1.95,8.0,0.28,0.0,0.22,0.09,0.195,1.6,0,0.5,1000000.0,1.6,0.47619047619047616,0.4548022598870056,S0256
H0257,39120013,240,3,0.0,284,52.91,416.0,1.2,0.05,0.0,1.42,5.291,83.2,1,1.25,6.711,83.2,0.1547748026621266,0.0423728813559322,S0257
H0258,39120015,110,4,15.4,31,3.85,27.0,0.55,0.0666666666666666,1.54,0.155,0.385,5.4,1,2.1566666666666667,0.54,5.4,0.38216560509554137,0.3135593220338983,S0258
H0259,39120016,67,0,8.0,23,2.54,17.5,0.335,0.0,0.8,0.115,0.254,3.5,1,1.135,0.369,3.5,0.5662514156285391,0.5903954802259888,S0259
H0260,39120245,98,0,8.0,32,4.03,28.0,0.49,0.0,0.8,0.16,0.403,5.6,1,1.29,0.5630000000000001,5.6,0.5790387955993052,0.6059322033898306,S0260
H0261,39120372,51,0,4.0,17,1.85,12.0,0.255,0.0,0.4,0.085,0.185,2.4,1,0.655,0.27,2.4,0.7220216606498195,0.786723163841808,S0261
H0262,39120458,120,33,6.0,29,3.65,24.0,0.6,0.55,0.6,0.145,0.365,4.8,1,1.75,0.51,4.8,0.4464285714285714,0.4096045197740113,S0262
H0263,39120509,120,16,0.0,36,5.16,30.0,0.6,0.2666666666666666,0.0,0.18,0.516,6.0,1,0.8666666666666666,0.696,6.0,0.8542141230068339,0.903954802259887,S0263
H0264,39120999,86,0,3.5,24,2.65,19.0,0.43,0.0,0.35,0.12,0.265,3.8,1,0.78,0.385,3.8,0.7168458781362007,0.7853107344632768,S0264
H0265,42270007,108,5,7.4,80,9.39,63.0,0.54,0.0833333333333333,0.74,0.4,0.939,12.6,1,1.3633333333333333,1.339,12.6,0.9762447120078099,0.9872881355932204,S0265
H0266,42270059,12,0,0.0,2,0.26,0.6,0.06,0.0,0.0,0.01,0.026,0.12,1,0.06,0.036,0.12,0.9765625,0.9887005649717514,S0266
H0267,42270059,12,0,0.0,2,1.42,0.6,0.06,0.0,0.0,0.01,0.142,0.12,1,0.06,0.152,0.12,0.9689922480620154,0.980225988700565,S0267
H0268,42270136,136,15,6.9,59,6.03,37.5,0.68,0.25,0.6900000000000001,0.295,0.603,7.5,1,1.62,0.8979999999999999,7.5,0.5807200929152148,0.6087570621468926,S0268
H0269,42270163,124,14,10.6,62,6.22,38.0,0.62,0.2333333333333333,1.06,0.31,0.622,7.6,1,1.9133333333333333,0.9319999999999999,7.6,0.5047106325706595,0.4985875706214689,S0269
H0270,42270214,134,14,0.0,70,7.94,54.0,0.67,0.2333333333333333,0.0,0.35,0.794,10.8,1,0.9033333333333333,1.1440000000000001,10.8,0.8060182697474475,0.8573446327683616,S0270
H0271,42270228,227,64,23.2,84,11.01,78.5,1.135,1.0666666666666669,2.32,0.42,1.101,15.7,1,4.5216666666666665,1.521,15.7,0.24995834027662056,0.1285310734463277,S0271
H0272,42270323,161,4,7.1,55,5.85,30.0,0.805,0.0666666666666666,0.71,0.275,0.585,6.0,1,1.5816666666666666,0.86,6.0,0.5808325266214908,0.6101694915254238,S0272
H0273,42270323,160,27,10.4,66,6.92,37.5,0.8,0.45,1.04,0.33,0.692,7.5,1,2.29,1.022,7.5,0.4409171075837743,0.3983050847457627,S0273
H0274,42270350,79,11,2.2,22,2.29,12.0,0.395,0.1833333333333333,0.22,0.11,0.229,2.4,1,0.7983333333333333,0.339,2.4,0.6852444038373686,0.7415254237288136,S0274
H0275,42270350,76,3,2.7,22,2.29,12.0,0.38,0.05,0.27,0.11,0.229,2.4,1,0.7,0.339,2.4,0.7347538574577517,0.8022598870056498,S0275
H0276,42270540,24,0,0.0,2,0.49,2.0,0.12,0.0,0.0,0.01,0.049,0.4,1,0.12,0.059000000000000004,0.4,0.942507068803016,0.9675141242937854,S0276
H0277,42270623,64,1,3.2,20,2.03,11.0,0.32,0.0166666666666666,0.32,0.1,0.2029999999999999,2.2,1,0.6566666666666666,0.30299999999999994,2.2,0.7387343018960847,0.8050847457627118,S0277
H0278,42270623,74,12,3.2,20,2.03,11.0,0.37,0.2,0.32,0.1,0.2029999999999999,2.2,1,0.8900000000000001,0.30299999999999994,2.2,0.6301197227473219,0.6680790960451978,S0278
H0279,42270631,31,0,2.2,6,0.6,2.8,0.155,0.0,0.22,0.03,0.06,0.5599999999999999,1,0.375,0.09,0.5599999999999999,0.8438818565400843,0.8912429378531074,S0279
H0280,42270631,55,1,4.3,18,2.01,11.4,0.275,0.0166666666666666,0.43,0.09,0.2009999999999999,2.28,1,0.7216666666666667,0.2909999999999999,2.28,0.6989748369058714,0.7556497175141242,S0280
H0281,42270632,31,0,6.4,6,0.6,2.8,0.155,0.0,0.64,0.03,0.06,0.5599999999999999,1,0.795,0.09,0.5599999999999999,0.8097165991902834,0.8629943502824858,S0281
H0282,42270632,31,0,6.4,5,0.57,3.1,0.155,0.0,0.64,0.025,0.0569999999999999,0.62,1,0.795,0.0819999999999999,0.62,0.851063829787234,0.8983050847457628,S0282
H0283,42270747,214,12,16.6,134,11.22,67.0,1.07,0.2,1.66,0.67,1.122,13.4,1,2.9299999999999997,1.7920000000000003,13.4,0.4677268475210478,0.4406779661016949,S0283
H0284,42270911,262,28,42.2,161,27.5,205.0,1.31,0.4666666666666667,4.220000000000001,0.805,2.75,41.0,1,5.996666666666668,3.555,41.0,0.2905569007263922,0.18361581920903955,S0284
H0285,42270974,130,11,0.0,70,8.37,54.0,0.65,0.1833333333333333,0.0,0.35,0.837,10.8,1,0.8333333333333333,1.1869999999999998,10.8,0.7387343018960848,0.806497175141243,S0285
H0286,42270996,113,12,7.4,69,7.98,53.0,0.565,0.2,0.74,0.345,0.798,10.6,1,1.505,1.143,10.6,0.7342143906020558,0.8008474576271186,S0286
H0287,42271015,172,26,24.5,60,6.1,40.0,0.86,0.4333333333333333,2.45,0.3,0.61,8.0,1,3.743333333333333,0.9099999999999999,8.0,0.2608695652173913,0.14689265536723164,S0287
H0288,42271067,98,0,5.4,22,2.52,14.0,0.49,0.0,0.54,0.11,0.252,2.8,1,1.03,0.362,2.8,0.5995203836930455,0.635593220338983,S0288
H0289,42271092,96,5,0.0,72,8.13,53.0,0.48,0.0833333333333333,0.0,0.36,0.8130000000000001,10.6,1,0.5633333333333332,1.173,10.6,0.6212466349140608,0.6596045197740112,S0289
H0290,42271192,162,14,12.5,66,7.81,53.0,0.81,0.2333333333333333,1.25,0.33,0.7809999999999999,10.6,1,2.2933333333333334,1.111,10.6,0.45822514128608527,0.423728813559322,S0290
H0291,42271243,194,32,0.0,77,10.23,74.0,0.97,0.5333333333333333,0.0,0.385,1.023,14.8,1,1.5033333333333334,1.408,14.8,0.9129640900791234,0.9477401129943502,S0291
